,Links,Topics
0,https://bitcointalk.org/index.php?topic=2797098.0,(WTB) looking for old Mining rig 100- 180 mhs
1,https://bitcointalk.org/index.php?topic=1412233.0,Anyone mining?
2,https://bitcointalk.org/index.php?topic=1542726.0,How to Start Mining in India
3,https://bitcointalk.org/index.php?topic=2756144.0,rx 56 and rx 64 in india
4,https://bitcointalk.org/index.php?topic=2766929.0,Antminer S9 for sale in Hyderabad
5,https://bitcointalk.org/index.php?topic=2751817.0,**GPU Mining for Newbies**
6,https://bitcointalk.org/index.php?topic=2779091.0,miner for sale 
7,https://bitcointalk.org/index.php?topic=2753363.0,"PEOPLE INTERESTED IN CLOUDMINING,MINING,SETTING FARMS EARN GOOD!! low risk!!"
8,https://bitcointalk.org/index.php?topic=420025.0,"Anyone from Hyderabad, Doing Mining or Trading ???"
9,https://bitcointalk.org/index.php?topic=2768714.0,Push pushing blockchain transactions bitcoin
10,https://bitcointalk.org/index.php?topic=2545713.0,Beaware of fake mining equipment available in INDIA!
11,https://bitcointalk.org/index.php?topic=2155167.0,MINING FARM IN INDIA (A HARDWARE POOL)
12,https://bitcointalk.org/index.php?topic=1799865.0,MINING RIGS FOR SALE. All over India.
13,https://bitcointalk.org/index.php?topic=2565551.0,What is the best altcoins to mine in India nowadays?
14,https://bitcointalk.org/index.php?topic=2726326.0,Pooling hardware for bitcoin mining
15,https://bitcointalk.org/index.php?topic=2721571.0,Legality of Cryptocurrency mining in India
16,https://bitcointalk.org/index.php?topic=2630626.0,Alt coin mining - All that time and investment worth the pain ? 
17,https://bitcointalk.org/index.php?topic=2679842.0,Selling Brand New Custom RIGS 
18,https://bitcointalk.org/index.php?topic=2083956.0,"RX 580,470,570 GTX GEFORCE 1060 ,ASROCK H110 Pro BTC+"
19,https://bitcointalk.org/index.php?topic=2613956.0,New MINERS COMMING
20,https://bitcointalk.org/index.php?topic=1212237.0,Trusted Cloud Mining Website
21,https://bitcointalk.org/index.php?topic=2367248.0,Genesis Mining
22,https://bitcointalk.org/index.php?topic=2623206.0,GPU Mining Rigs Available in Mumbai as well as India
23,https://bitcointalk.org/index.php?topic=2649241.0,My Small S9 Garden
24,https://bitcointalk.org/index.php?topic=2566201.0,Shipping ebit 9 plus
25,https://bitcointalk.org/index.php?topic=2639331.0,Welcome New Year with Antminer S9
26,https://bitcointalk.org/index.php?topic=2256833.0,"UNSHIPPED MINERS FROM BITMAIN (Update 11th,Oct,2017) "
27,https://bitcointalk.org/index.php?topic=2566339.0,Closed
